Days since last event;1-5;6-10;10-15;16-20;21-25;26-30;31-35;36-40;41-45;46-50;51-55;56-60;61-65;66-70;71-75
0;0.19910514541387025;0.27314814814814814;0.3434343434343434;0.4326923076923077;0.3900709219858156;0.5271317829457365;0.5480769230769231;0.6559139784946236;0.6666666666666666;0.647887323943662;0.7962962962962963;0.7439024390243902;0.7741935483870968;0.7555555555555555;0.7407407407407407
1;0.1496437054631829;0.21890547263681592;0.275092936802974;0.34444444444444444;0.2892561983471074;0.42452830188679247;0.45348837209302323;0.5616438356164384;0.5283018867924528;0.5689655172413793;0.6944444444444444;0.6440677966101694;0.6956521739130435;0.6333333333333333;0.6216216216216216
2;0.13317191283292978;0.19072164948453607;0.2471042471042471;0.30177514792899407;0.23214285714285715;0.34408602150537637;0.4125;0.4576271186440678;0.4444444444444444;0.4791666666666667;0.5925925925925926;0.5714285714285714;0.6;0.5925925925925926;0.5625
3;0.11713933415536375;0.1736842105263158;0.21370967741935484;0.25316455696202533;0.21100917431192662;0.3068181818181818;0.3472222222222222;0.4074074074074074;0.4186046511627907;0.4444444444444444;0.5416666666666666;0.5434782608695652;0.46153846153846156;0.5416666666666666;0.5625
4;0.10945273631840796;0.15591397849462366;0.19421487603305784;0.19727891156462585;0.18095238095238095;0.27380952380952384;0.3088235294117647;0.38461538461538464;0.358974358974359;0.40476190476190477;0.47619047619047616;475;0.46153846153846156;0.5;0.44
5;105;0.1444141689373297;0.1702127659574468;0.18620689655172415;0.1568627450980392;0.2375;0.27692307692307694;0.3469387755102041;0.3055555555555556;375;0.3888888888888889;0.4166666666666667;0.44;0.45;0.44
6;0.10050251256281408;0.1349862258953168;0.15948275862068967;0.18620689655172415;0.14;0.21794871794871795;0.265625;0.30434782608695654;0.24242424242424243;0.34210526315789475;0.3888888888888889;0.38235294117647056;0.391304347826087;0.42105263157894735;0.44
7;0.09595959595959595;0.1349862258953168;0.14847161572052403;0.18620689655172415;0.14;0.2077922077922078;0.265625;0.2727272727272727;0.21875;0.32432432432432434;0.35294117647058826;0.36363636363636365;0.3333333333333333;0.3888888888888889;0.4166666666666667
8;0.09137055837563451;0.12777777777777777;0.13333333333333333;0.18620689655172415;0.12244897959183673;0.2077922077922078;0.24193548387096775;0.2;0.1935483870967742;0.3055555555555556;0.3125;0.3225806451612903;0.3;0.35294117647058826;0.4166666666666667
9;0.08789808917197452;0.12290502793296089;0.12946428571428573;0.18055555555555555;0.12244897959183673;0.2077922077922078;0.22950819672131148;0.2;0.1935483870967742;0.2857142857142857;0.3125;0.3225806451612903;0.3;0.26666666666666666;0.4166666666666667
10;0.08556832694763729;0.11549295774647887;0.12946428571428573;0.16901408450704225;0.10416666666666667;0.19736842105263158;0.21666666666666667;0.1794871794871795;0.1935483870967742;0.2647058823529412;0.3125;0.3225806451612903;0.3;0.26666666666666666;0.4166666666666667
11;0.08087291399229782;0.10795454545454546;0.11363636363636363;0.15714285714285714;0.09473684210526316;0.18666666666666668;0.1896551724137931;0.13513513513513514;0.1935483870967742;0.2647058823529412;0.3125;0.3;0.3;0.26666666666666666;0.4166666666666667
12;0.07731958762886598;0.10541310541310542;0.1095890410958904;0.15714285714285714;0.09473684210526316;0.18666666666666668;0.1896551724137931;0.1111111111111111;0.1935483870967742;0.2647058823529412;0.3125;0.25;0.3;0.26666666666666666;0.4166666666666667
